schemeCode,AMC,schemeCategory,schemeSubCategory,schemeName,Plan,Option
100033,Aditya Birla Sun Life,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Large & Mid Cap Fund-Regular-Growth,Regular,Growth
100034,Aditya Birla Sun Life,Equity Scheme,Large & Mid Cap,Aditya Birla Sun Life Large & Mid Cap Fund-Regular-IDCW,Regular,IDCW
100037,Aditya Birla Sun Life,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund-Regular-Quarterly IDCW,Regular,IDCW
100038,Aditya Birla Sun Life,Debt Scheme,Medium to Long Duration,Aditya Birla Sun Life Income Fund-Regular-Growth,Regular,Growth
100041,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Institutional-IDCW,Institutional,IDCW
100042,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Retail-Growth,Retail,Growth
100043,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Institutional-Growth,Institutional,Growth
100044,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Retail-IDCW,Retail,IDCW
100046,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Regular-Daily IDCW,Regular,IDCW
100047,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Regular-Growth,Regular,Growth
100048,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Institutional-Weekly IDCW,Institutional,IDCW
100051,Aditya Birla Sun Life,Debt Scheme,Liquid,Aditya Birla Sun Life Liquid Fund-Regular-Weekly IDCW,Regular,IDCW
100057,Aditya Birla Sun Life,Debt Scheme,Gilt,ABSL Govenment Securities Fund-Regular-Quarterly IDCW,Regular,IDCW
100058,Aditya Birla Sun Life,Debt Scheme,Gilt,Aditya Birla Sun Life Government Securities Fund-Regular-Growth,Regular,Growth
100063,Aditya Birla Sun Life,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund-Regular-IDCW,Regular,IDCW
100064,Aditya Birla Sun Life,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund-Regular-Growth,Regular,Growth
100077,DSP,Debt Scheme,Medium Duration,DSP Bond Fund-Regular-IDCW,Regular,IDCW
100078,DSP,Debt Scheme,Medium Duration,DSP Bond Fund-Regular-Growth,Regular,Growth
100079,DSP,Debt Scheme,Medium Duration,DSP Bond Fund-Regular-Monthly IDCW,Regular,IDCW
100080,DSP,Equity Scheme,Flexi Cap,DSP Flexi Cap Fund-Regular-IDCW,Regular,IDCW
100081,DSP,Hybrid Scheme,Aggressive Hybrid,DSP Aggressive Hybrid Fund-Regular-Growth,Regular,Growth
100082,DSP,Hybrid Scheme,Aggressive Hybrid,DSP Aggressive Hybrid Fund-Regular-IDCW,Regular,IDCW
100084,DSP,Debt Scheme,Gilt,DSP Gilt Fund-Regular-Growth,Regular,Growth
100085,DSP,Debt Scheme,Gilt,DSP Gilt Fund-Regular-IDCW,Regular,IDCW
100086,DSP,Debt Scheme,Gilt,DSP Gilt Fund-Regular-Monthly IDCW,Regular,IDCW
100087,DSP,Debt Scheme,Money Market,DSP Savings Fund-Regular-Growth,Regular,Growth
100088,DSP,Debt Scheme,Money Market,DSP Savings Fund-Regular-IDCW,Regular,IDCW
100089,JM Financial,Debt Scheme,Low Duration,DSP Savings Fund-Regular-Monthly IDCW,Regular,IDCW
100119,HDFC,Hybrid Scheme,Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund-Regular-Growth,Regular,Growth
100120,HDFC,Hybrid Scheme,Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund-Regular-IDCW,Regular,IDCW
100123,HDFC,Debt Scheme,Medium to Long Duration,HDFC Income Fund-Regular-Quarterly IDCW,Regular,IDCW
100124,HDFC,Debt Scheme,Medium to Long Duration,HDFC Income Fund-Regular-Growth,Regular,Growth
100174,Quant,Equity Scheme,ELSS,quant ELSS Tax Saver Fund-Regular-IDCW,Regular,IDCW
100175,Quant,Equity Scheme,ELSS,quant ELSS Tax Saver Fund-Regular-Growth,Regular,Growth
100176,Quant,Equity Scheme,Small Cap,quant Small Cap Fund-Regular-IDCW,Regular,IDCW
100177,Quant,Equity Scheme,Small Cap,quant Small Cap Fund-Regular-Growth,Regular,Growth
100218,JM Financial,Equity Scheme,Large Cap,JM Large Cap Fund-Regular-IDCW,Regular,IDCW
100219,JM Financial,Equity Scheme,Large Cap,JM Large Cap Fund-Regular-Growth,Regular,Growth
100220,JM Financial,Hybrid Scheme,Aggressive Hybrid,JM Aggressive Hybrid Fund-Regular-IDCW,Regular,IDCW
100221,JM Financial,Hybrid Scheme,Aggressive Hybrid,JM Aggressive Hybrid Fund-Regular-Growth,Regular,Growth
100222,JM Financial,Debt Scheme,Medium to Long Duration,JM Medium to Long Duration Fund-Regular-Quarterly IDCW,Regular,IDCW
